city,county,model_year,make,model,electric_vehicle_type,n_cars
Bellevue,King,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),12
Bainbridge Island,Kitsap,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),12
Snohomish,Snohomish,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),12
Woodinville,King,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),12
Renton,King,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),12
Chelan,Chelan,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),12
Federal Way,King,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),12
Everett,Snohomish,2023,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),12
Everett,Snohomish,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),12
Bainbridge Island,Kitsap,2022,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),12
Woodinville,King,2019,KIA,NIRO,Battery Electric Vehicle (BEV),12
Gig Harbor,Pierce,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),12
Redmond,King,2019,KIA,NIRO,Battery Electric Vehicle (BEV),12
Snohomish,Snohomish,2022,KIA,EV6,Battery Electric Vehicle (BEV),12
Gig Harbor,Pierce,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),12
Renton,King,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),12
Bainbridge Island,Kitsap,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),12
Bellevue,King,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),12
Brush Prairie,Clark,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),12
Bremerton,Kitsap,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),12
Everett,Snohomish,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),12
Snohomish,Snohomish,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),12
Snohomish,Snohomish,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Fall City,King,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Kirkland,King,2022,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),11
Maple Valley,King,2023,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Mill Creek,Snohomish,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Edmonds,Snohomish,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Mercer Island,King,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),11
Camas,Clark,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Longview,Cowlitz,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Carnation,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Woodinville,King,2023,BMW,I4,Battery Electric Vehicle (BEV),11
Shoreline,King,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Redmond,King,2023,NISSAN,ARIYA,Battery Electric Vehicle (BEV),11
Sequim,Clallam,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Richland,Benton,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Tacoma,Pierce,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),11
Seatac,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Bellevue,King,2022,VOLVO,XC40,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),11
Poulsbo,Kitsap,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Tacoma,Pierce,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Cle Elum,Kittitas,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Port Townsend,Jefferson,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
University Place,Pierce,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2023,POLESTAR,PS2,Battery Electric Vehicle (BEV),11
Kent,King,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Bellevue,King,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),11
Bremerton,Kitsap,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Newcastle,King,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),11
Camas,Clark,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Issaquah,King,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Lynnwood,Snohomish,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Longview,Cowlitz,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Lake Stevens,Snohomish,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Duvall,King,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),11
Enumclaw,King,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Seattle,King,2018,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),11
Spokane,Spokane,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Snohomish,Snohomish,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Bainbridge Island,Kitsap,2021,VOLVO,XC40,Battery Electric Vehicle (BEV),11
Friday Harbor,San Juan,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Renton,King,2017,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),11
Bothell,Snohomish,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Sammamish,King,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Issaquah,King,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Burien,King,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Renton,King,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Tukwila,King,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Stanwood,Snohomish,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Kent,King,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),11
Kent,King,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Olympia,Thurston,2015,FIAT,500,Battery Electric Vehicle (BEV),11
Cle Elum,Kittitas,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Everett,Snohomish,2019,KIA,NIRO,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),11
Poulsbo,Kitsap,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Tacoma,Pierce,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Seattle,King,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,Battery Electric Vehicle (BEV),11
Bellevue,King,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Olympia,Thurston,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
East Wenatchee,Douglas,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Bellevue,King,2023,KIA,NIRO,Battery Electric Vehicle (BEV),11
Des Moines,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Sequim,Clallam,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Arlington,Snohomish,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
White Salmon,Klickitat,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Port Angeles,Clallam,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Yakima,Yakima,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Seatac,King,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Bothell,Snohomish,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Newcastle,King,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Clyde Hill,King,2022,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),11
Camas,Clark,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2022,FORD,F-150,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2022,KIA,EV6,Battery Electric Vehicle (BEV),11
Olympia,Thurston,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Stanwood,Snohomish,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Bainbridge Island,Kitsap,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Bellevue,King,2023,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),11
Bothell,Snohomish,2020,KIA,NIRO,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),11
Kenmore,King,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Marysville,Snohomish,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Kirkland,King,2023,MERCEDES-BENZ,EQS-CLASS SUV,Battery Electric Vehicle (BEV),11
Spokane Valley,Spokane,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Tumwater,Thurston,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Renton,King,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Arlington,Snohomish,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Woodinville,King,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Tacoma,Pierce,2020,KIA,NIRO,Battery Electric Vehicle (BEV),11
Snohomish,Snohomish,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Snohomish,Snohomish,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Seattle,King,2020,MERCEDES-BENZ,GLC-CLASS,Plug-in Hybrid Electric Vehicle (PHEV),11
Edmonds,Snohomish,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),11
Shoreline,King,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),11
Bonney Lake,Pierce,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Shelton,Mason,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Seattle,King,2020,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),11
Washougal,Clark,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Bothell,King,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Snoqualmie,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Mount Vernon,Skagit,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Bothell,King,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Lake Forest Park,King,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Richland,Benton,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Bremerton,Kitsap,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Redmond,King,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Gig Harbor,Pierce,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Port Orchard,Kitsap,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Redmond,King,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),11
Bremerton,Kitsap,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Mercer Island,King,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),11
Lynnwood,Snohomish,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Everett,Snohomish,2016,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),11
Mercer Island,King,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Kent,King,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),11
Shoreline,King,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Brier,Snohomish,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Lacey,Thurston,2022,KIA,EV6,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),11
Issaquah,King,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),11
Mount Vernon,Skagit,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Kirkland,King,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Kirkland,King,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Kirkland,King,2018,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Camas,Clark,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Woodinville,King,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2017,FIAT,500,Battery Electric Vehicle (BEV),11
Tacoma,Pierce,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Snohomish,Snohomish,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2023,FORD,F-150,Battery Electric Vehicle (BEV),11
Edmonds,Snohomish,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Camas,Clark,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Issaquah,King,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Olympia,Thurston,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Federal Way,King,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2023,KIA,EV6,Battery Electric Vehicle (BEV),11
Covington,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Olympia,Thurston,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),11
Redmond,King,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Port Orchard,Kitsap,2018,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Vancouver,Clark,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Bellingham,Whatcom,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),11
Auburn,King,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Silverdale,Kitsap,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Mercer Island,King,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),11
Bothell,King,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Kirkland,King,2016,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),11
Edmonds,Snohomish,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Redmond,King,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),11
Mercer Island,King,2022,KIA,EV6,Battery Electric Vehicle (BEV),11
Redmond,King,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),11
Olympia,Thurston,2023,FORD,F-150,Battery Electric Vehicle (BEV),11
Kirkland,King,2021,PORSCHE,TAYCAN,Battery Electric Vehicle (BEV),11
Issaquah,King,2023,BMW,I4,Battery Electric Vehicle (BEV),11
Spokane Valley,Spokane,2022,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Shoreline,King,2023,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Mercer Island,King,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),11
Mercer Island,King,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),11
Camano Island,Island,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Bellevue,King,2018,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),11
Vancouver,Clark,2015,FIAT,500,Battery Electric Vehicle (BEV),11
Centralia,Lewis,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Kenmore,King,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Bainbridge Island,Kitsap,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),11
Bellevue,King,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),11
Olympia,Thurston,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Port Angeles,Clallam,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Vashon,King,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Edmonds,Snohomish,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Everett,Snohomish,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),11
Burien,King,2023,HYUNDAI,IONIQ 5,Battery Electric Vehicle (BEV),11
Anacortes,Skagit,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Everett,Snohomish,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Federal Way,King,2023,CHEVROLET,BOLT EUV,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),11
Edmonds,Snohomish,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Bothell,Snohomish,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),11
Olympia,Thurston,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),11
Bainbridge Island,Kitsap,2023,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Washougal,Clark,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Issaquah,King,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Bellingham,Whatcom,2023,FORD,F-150,Battery Electric Vehicle (BEV),11
Anacortes,Skagit,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Redmond,King,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Bainbridge Island,Kitsap,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Bellevue,King,2016,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),11
Spokane,Spokane,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Olympia,Thurston,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),11
Spokane,Spokane,2021,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Everett,Snohomish,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),11
Fircrest,Pierce,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Woodinville,King,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),11
Vancouver,Clark,2023,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Clyde Hill,King,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),11
Gig Harbor,Pierce,2019,AUDI,E-TRON,Battery Electric Vehicle (BEV),11
Walla Walla,Walla Walla,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),11
Kent,King,2022,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Seattle,King,2022,VOLVO,S60,Plug-in Hybrid Electric Vehicle (PHEV),11
Kent,King,2023,BMW,I4,Battery Electric Vehicle (BEV),11
Edmonds,Snohomish,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),11
Spokane,Spokane,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),11
Bremerton,Kitsap,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),11
Bellevue,King,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),10
Covington,King,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Anacortes,Skagit,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Everett,Snohomish,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),10
Blaine,Whatcom,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Bothell,Snohomish,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),10
Monroe,Snohomish,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Tacoma,Pierce,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),10
Blaine,Whatcom,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Maple Valley,King,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),10
Issaquah,King,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),10
Tacoma,Pierce,2022,POLESTAR,PS2,Battery Electric Vehicle (BEV),10
Renton,King,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),10
Woodinville,King,2023,RIVIAN,R1T,Battery Electric Vehicle (BEV),10
Maple Valley,King,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),10
Seattle,King,2012,MITSUBISHI,I-MIEV,Battery Electric Vehicle (BEV),10
Maple Valley,King,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Orting,Pierce,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Friday Harbor,San Juan,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Battle Ground,Clark,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),10
Bellevue,King,2021,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),10
Tacoma,Pierce,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),10
Kennewick,Benton,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),10
Wenatchee,Chelan,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
East Wenatchee,Douglas,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Moses Lake,Grant,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Renton,King,2023,KIA,SPORTAGE,Plug-in Hybrid Electric Vehicle (PHEV),10
Issaquah,King,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),10
Sammamish,King,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),10
Lake Tapps,Pierce,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Port Orchard,Kitsap,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),10
Issaquah,King,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),10
Everett,Snohomish,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),10
Gig Harbor,Pierce,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),10
Renton,King,2023,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),10
Bellevue,King,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),10
Tacoma,Pierce,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),10
Woodinville,King,2022,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),10
Port Townsend,Jefferson,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Renton,King,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),10
Gig Harbor,Pierce,2023,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),10
Mount Vernon,Skagit,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Centralia,Lewis,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),10
Issaquah,King,2023,KIA,EV6,Battery Electric Vehicle (BEV),10
Sammamish,King,2022,AUDI,E-TRON,Battery Electric Vehicle (BEV),10
Port Townsend,Jefferson,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Lynnwood,Snohomish,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),10
Bellevue,King,2014,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),10
Woodinville,King,2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),10
Clyde Hill,King,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),10
Port Orchard,Kitsap,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),10
Woodinville,King,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),10
Everett,Snohomish,2023,KIA,EV6,Battery Electric Vehicle (BEV),10
Moses Lake,Grant,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Port Orchard,Kitsap,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),10
Bellevue,King,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),10
Port Orchard,Kitsap,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),10
Lynnwood,Snohomish,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Spokane,Spokane,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),10
Lynnwood,Snohomish,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),10
Lynden,Whatcom,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Spokane,Spokane,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),10
Yelm,Thurston,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Seattle,King,2023,CADILLAC,LYRIQ,Battery Electric Vehicle (BEV),10
Everett,Snohomish,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Lake Stevens,Snohomish,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),10
Anacortes,Skagit,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),10
University Place,Pierce,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Pasco,Franklin,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Walla Walla,Walla Walla,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Bellevue,King,2020,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),10
Everett,Snohomish,2020,KIA,NIRO,Battery Electric Vehicle (BEV),10
Poulsbo,Kitsap,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
West Richland,Benton,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Brush Prairie,Clark,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),10
Friday Harbor,San Juan,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),10
Tacoma,Pierce,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),10
